Feature ID	Taxon	Confidence
00998d89f967cc96ff8c6b2343cc5c49	d__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae; g__Lachnospiraceae_UCG-001	0.7089103802001953
009cd69a469a12b710623bbe111857cf	d__Bacteria; p__Firmicutes; c__Clostridia	0.9999996507628178
009d0cce4c492bd914fb9035ac2719d6	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotellaceae_NK3B31_group; s__metagenome	0.9514282962275028
00a1cfedbec711e0e2698b13fd698821	d__Bacteria; p__Chloroflexi; c__Dehalococcoidia; o__SAR202_clade; f__SAR202_clade; g__SAR202_clade; s__uncultured_soil	0.9956960801463568
00a7dd2c2a74b4949735ad9533dfba7d	d__Bacteria	0.825702476593678
00aa05fe144137d20bbd1298fc54b12c	d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiae; o__Pedosphaerales; f__Pedosphaeraceae; g__Pedosphaeraceae; s__metagenome	0.9249554691018448
00b0641a4c4fa31c7ea716a175786063	d__Bacteria; p__Firmicutes; c__Clostridia; o__Christensenellales; f__Christensenellaceae; g__Christensenellaceae_R-7_group; s__uncultured_prokaryote	0.975254774165381
00b40c3daf546070efc4866bd5301b14	d__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae	0.9999998358094536
00bac45692a9cc67c6e2088088dad2b2	d__Bacteria; p__Firmicutes; c__Bacilli; o__Erysipelotrichales; f__Erysipelotrichaceae; g__Erysipelotrichaceae; s__uncultured_bacterium	0.9999996109102984
00c246b120f5d923130e01c042aef3de	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Burkholderia-Caballeronia-Paraburkholderia	0.9963143446986924
00c60b041e69e194c8e90d2f32387df1	d__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae; g__uncultured; s__uncultured_bacterium	0.716479436959564
