Compound	MC_POS_1_Salmonella	MC_POS_2_Salmonella	MC_POS_3_Salmonella	ME_POS_1_Salmonella	ME_POS_2_Salmonella	ME_POS_3_Salmonella	MF_POS_1_Salmonella	MF_POS_2_Salmonella	MF_POS_3_Salmonella	MJ_POS_1_Salmonella	MJ_POS_2_Salmonella	MJ_POS_3_Salmonella	MQ_POS_1_Salmonella	MQ_POS_2_Salmonella	MQ_POS_3_Salmonella	MR_POS_1_Salmonella	MR_POS_2_Salmonella	MR_POS_3_Salmonella	MV_POS_1_Salmonella	MV_POS_2_Salmonella	MV_POS_3_Salmonella	NH_POS_1_Control	NH_POS_2_Control	NH_POS_3_Control	NI_POS_1_Control	NI_POS_2_Control	NI_POS_3_Control	NJ_POS_1_Control	NJ_POS_2_Control	NJ_POS_3_Control	NK_POS_1_Control	NK_POS_2_Control	NK_POS_3_Control	NL_POS_1_Control	NL_POS_2_Control	NL_POS_3_Control	NM_POS_1_Control	NM_POS_2_Control	NM_POS_3_Control	NN_POS_1_Control	NN_POS_2_Control	NN_POS_3_Control	PRE_QC1_POS_1_QC	PRE_QC2_POS_1_QC	QC1_POS_1_QC	QC1_POS_2_QC	QC1_POS_3_QC	QC2_POS_1_QC	QC2_POS_2_QC	QC2_POS_3_QC
12.04_826.4671	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17827.43858	24294.93194	14506.97124	0	0	0	0	24298.80973	0	61413.80804	42363.28039	50631.27451	27092.15298	32034.94111	36504.94601	40391.19192	32145.2157	41814.73494	14798.62604	14758.16179	0	29970.81088	13592.45116	15997.24035	0	0	0	0	0	0	0	0
13.67_328.1186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17217.21918	15172.31932	10243.06149	4916.862343	0	0	0	12103.5497	5495.398489	3593.22793	0	2802.0037	0	3962.569886	3944.799785	9066.562039	8735.105708	0	11692.76761	5075.166808	4963.107696	0	0	0	0	0	0	0	0
10.71_593.1870	37926.32143	42146.11532	44232.39847	0	0	5668.949583	34753.57792	36044.89068	32123.12063	0	0	0	50912.86752	37647.31491	35380.40282	24994.30463	0	11949.75015	0	0	0	0	0	0	0	0	0	898.4062886	0	0	0	0	0	0	0	0	896.0192754	0	0	0	0	0	0	0	0	0	0	0	0	0
12.94_285.0404	0	0	0	0	0	0	0	0	1503.732089	0	0	0	17401.96806	10389.18499	15086.9012	0	4518.240141	6193.306187	6076.698738	4627.05685	3522.434732	63206.10497	50762.23241	52341.51969	1717.610541	1467.95615	541.7307697	3082.334355	0	8047.965062	22832.25764	21433.16996	16755.95579	48674.38709	34503.94473	34546.25942	18877.4991	12627.98001	12612.44387	82663.15269	74555.12287	54403.24809	16026.39783	24172.68183	21411.58205	25468.30795	22118.12489	0	20311.35983	17221.90747
1.46_118.0267	2009919.069	2033374.763	1958706.175	828009.8165	828069.8165	799863.649	6772559.108	6590697.776	5596126.178	1571406.282	1181740.698	1560801.86	4960236.141	4610680.068	4546415.332	6176510.575	4598498.281	4482537.909	5425079.168	4249692.581	3938622.013	428970.8893	481743.0517	441973.2464	967145.3315	1017462.369	1080498.147	1040256.154	1149599.301	977107.3135	1204987.744	993795.1255	972607.7186	831990.2547	777585.7548	837943.3192	1859752.135	1607301.385	1608957.028	3318495.672	2771910.604	2974053.605	2717135.372	5161700.461	2792927.325	3576747.785	2721807.263	38359.83574	3270109.081	2917183.509
1.09_89.0244	1681492.753	1329901.941	1234696.235	3641302.021	3641178.021	3427948.569	662667.8469	555229.4926	505313.2425	1465131.065	1182186.359	1175879.162	4154568.43	2843200.794	2896334.194	5434542.111	3785350.871	3921339.486	592367.7832	469117.1845	451035.1642	394516.7189	374251.934	372715.2462	398068.9197	415513.6763	438502.1149	448334.5898	581691.8798	468008.2172	487785.2818	426758.6096	402531.9208	938747.546	706811.2279	694766.2135	858870.9709	670303.1854	692176.5449	1228909.779	978508.7722	917834.8654	2410756.305	2445436.913	1472172.46	2379329.256	1488405.658	2388131.601	1719449.692	1399587.822
0.66_216.1352	755.1432395	1770.157689	2590.418023	8286.387418	8441.387418	5580.154103	5260.48585	6999.62886	10016.10149	2755.107195	287.0816445	643.5256198	1292.823448	4344.194185	5127.710015	18637.44354	6206.131174	10000.35633	3991.390994	5832.026489	6163.216342	35184.41915	29693.0682	35008.10191	40992.14954	42585.6582	52699.54794	20313.37035	12186.25562	15181.86713	4390.107702	5955.952954	7397.030399	8069.113179	9435.884561	7039.948623	16201.87129	10367.88937	14397.27715	7574.904445	17474.51955	20726.2612	7179.878611	11105.59711	8901.805704	13646.539	7173.613224	0	9264.407285	8554.573928
4.01_386.1204	110792.8578	114054.8767	101941.3294	13096.9915	13106.9915	16408.80754	152829.0065	165718.3786	151789.8834	18219.21356	10732.15051	15524.55464	60403.01978	57324.90748	46245.26783	50137.05221	41928.45194	0	7454.077331	0	7082.519095	51.70334151	145.6950354	695.585969	640.5633636	1015.532793	33.55358843	0	0	0	0	0	0	0	0	0	0	512.5687998	1207.723056	28.72795055	676.4663118	301.1586608	43547.81093	28184.73342	24911.5234	25837.49877	18213.5939	0	29569.5761	23896.00118
10.78_378.0288	0	11508.78816	14855.21026	9492.008476	9540.008476	7281.882877	24980.9427	28189.86464	28844.82104	0	14850.51361	13139.97038	6336.615114	12484.41863	13588.52739	0	6597.510454	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10.34_523.2551	19652.13054	8452.458273	9994.062611	0	0	5558.173889	12561.79147	13126.18217	11066.26036	28536.83268	35334.56388	30860.76995	0	0	7462.695677	0	18747.40656	18487.09206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
